NUTS_ID,TEMPERATURE_MAX_2018-01,TEMPERATURE_MAX_2018-02,TEMPERATURE_MAX_2018-03,TEMPERATURE_MAX_2018-04,TEMPERATURE_MAX_2018-05,TEMPERATURE_MAX_2018-06,TEMPERATURE_MAX_2018-07,TEMPERATURE_MAX_2018-08,TEMPERATURE_MAX_2018-09,TEMPERATURE_MAX_2018-10,TEMPERATURE_MAX_2018-11,TEMPERATURE_MAX_2018-12,TEMPERATURE_MIN_2018-01,TEMPERATURE_MIN_2018-02,TEMPERATURE_MIN_2018-03,TEMPERATURE_MIN_2018-04,TEMPERATURE_MIN_2018-05,TEMPERATURE_MIN_2018-06,TEMPERATURE_MIN_2018-07,TEMPERATURE_MIN_2018-08,TEMPERATURE_MIN_2018-09,TEMPERATURE_MIN_2018-10,TEMPERATURE_MIN_2018-11,TEMPERATURE_MIN_2018-12,TEMPERATURE_AVG_2018-01,TEMPERATURE_AVG_2018-02,TEMPERATURE_AVG_2018-03,TEMPERATURE_AVG_2018-04,TEMPERATURE_AVG_2018-05,TEMPERATURE_AVG_2018-06,TEMPERATURE_AVG_2018-07,TEMPERATURE_AVG_2018-08,TEMPERATURE_AVG_2018-09,TEMPERATURE_AVG_2018-10,TEMPERATURE_AVG_2018-11,TEMPERATURE_AVG_2018-12,GRID_NO_2018-01,LATITUDE_2018-01,LONGITUDE_2018-01,ALTITUDE_2018-01,PRECIPITATION_2018-01,PRECIPITATION_2018-02,PRECIPITATION_2018-03,PRECIPITATION_2018-04,PRECIPITATION_2018-05,PRECIPITATION_2018-06,PRECIPITATION_2018-07,PRECIPITATION_2018-08,PRECIPITATION_2018-09,PRECIPITATION_2018-10,PRECIPITATION_2018-11,PRECIPITATION_2018-12,ET0_2018-01,ET0_2018-02,ET0_2018-03,ET0_2018-04,ET0_2018-05,ET0_2018-06,ET0_2018-07,ET0_2018-08,ET0_2018-09,ET0_2018-10,ET0_2018-11,ET0_2018-12,WINDSPEED_2018-01,WINDSPEED_2018-02,WINDSPEED_2018-03,WINDSPEED_2018-04,WINDSPEED_2018-05,WINDSPEED_2018-06,WINDSPEED_2018-07,WINDSPEED_2018-08,WINDSPEED_2018-09,WINDSPEED_2018-10,WINDSPEED_2018-11,WINDSPEED_2018-12,LEVL_CODE_2018-01,MOUNT_TYPE_2018-01,URBN_TYPE_2018-01,COAST_TYPE_2018-01
AL013,9.6,6.8,12.0,20.9,21.8,23.8,25.3,26.3,23.5,17.9,17.2,7.7,-8.7,-13.4,-14.5,-2.0,2.9,5.4,7.8,9.3,-0.9,-1.6,-7.1,-10.1,-0.4483870967741936,-2.1357142857142857,1.6419354838709679,9.916666666666666,12.077419354838709,13.84,16.219354838709677,17.129032258064516,13.406666666666666,9.283870967741937,4.35,-2.0903225806451613,66142.0,42.45799,19.92653,1503.0,3.0870967741935487,9.232142857142858,10.19032258064516,0.35,1.9709677419354839,2.9233333333333333,1.703225806451613,0.6903225806451613,0.5166666666666667,2.0064516129032257,5.923333333333333,3.6967741935483875,0.6216129032258064,0.755,1.3945161290322579,3.319666666666667,3.4874193548387096,3.655666666666667,4.388064516129032,4.001935483870968,3.185666666666667,1.7996774193548386,0.9506666666666667,0.5235483870967742,1.5193548387096774,2.0785714285714287,2.4000000000000004,2.0633333333333335,1.6838709677419357,1.76,1.570967741935484,1.506451612903226,1.8466666666666667,2.0516129032258066,1.7833333333333334,1.664516129032258,3.0,4.0,3.0,1.0
AL014,16.8,16.7,22.6,30.4,31.4,33.8,34.5,35.4,33.2,27.7,26.6,16.9,1.4,-2.0,-1.0,7.0,12.5,17.4,18.1,20.1,10.0,9.3,4.6,0.6,9.635483870967741,9.260714285714286,12.041935483870969,18.48,21.81935483870968,24.576666666666664,26.241935483870968,27.822580645161292,23.616666666666667,19.958064516129035,15.253333333333334,9.361290322580645,63141.0,41.85183,19.55795,5.0,4.535483870967742,6.089285714285714,11.109677419354838,0.38333333333333336,3.509677419354839,1.9600000000000002,0.49032258064516127,0.7258064516129032,0.5833333333333334,1.5129032258064516,5.666666666666667,4.22258064516129,1.219032258064516,1.4375,2.0170967741935484,3.9699999999999998,4.549677419354839,5.263000000000001,5.928387096774194,5.589032258064516,4.658333333333333,2.80741935483871,1.762,1.2838709677419355,2.696774193548387,3.425,3.3483870967741933,2.3766666666666665,2.545161290322581,2.74,2.416129032258065,2.3,3.0633333333333335,2.7161290322580647,3.066666666666667,2.803225806451613,3.0,4.0,3.0,3.0
AL015,14.8,14.4,21.1,30.0,30.5,33.2,34.1,35.3,32.5,26.2,23.2,13.3,-9.3,-13.7,-15.2,-2.6,2.2,4.7,7.2,8.7,-1.5,-2.2,-7.8,-10.7,2.203225806451613,1.426785714285714,4.701612903225806,12.823333333333332,15.738709677419354,17.793333333333333,20.067741935483873,21.506451612903227,17.186666666666667,12.803225806451612,7.578333333333333,1.0306451612903225,65641.0,42.375365,19.60743,999.5,4.925806451612903,10.089285714285714,14.451612903225806,0.5133333333333333,3.6451612903225805,2.95,1.2322580645161292,0.9225806451612903,0.7933333333333332,3.5161290322580645,7.131666666666667,4.669354838709677,0.7651612903225806,1.0123214285714286,1.5714516129032257,3.6681666666666666,4.105161290322581,4.497333333333333,5.252580645161291,4.938548387096774,3.9219999999999997,2.1516129032258067,1.1761666666666666,0.7309677419354839,1.6709677419354838,2.394642857142857,2.3806451612903223,2.065,1.885483870967742,2.0366666666666666,1.8983870967741936,1.8306451612903225,2.21,2.0387096774193547,1.9616666666666667,1.8661290322580646,3.0,4.0,2.0,1.0
AT111,17.3,9.5,17.8,28.2,28.7,31.7,33.3,33.4,29.8,23.5,18.7,13.4,-4.0,-12.2,-17.5,1.2,8.1,8.0,8.5,10.8,0.0,1.5,-7.3,-7.1,3.167741935483871,-0.3892857142857143,3.370967741935484,15.116666666666667,17.958064516129035,20.446666666666665,21.812903225806455,22.835483870967742,17.353333333333335,12.803225806451612,6.6,2.306451612903226,87129.0,47.48125,16.5263,243.0,0.7838709677419355,1.4857142857142858,1.7903225806451613,0.7233333333333333,2.3548387096774195,3.3766666666666665,1.5806451612903225,2.103225806451613,2.8466666666666667,1.0290322580645161,1.5866666666666667,1.0064516129032257,0.45483870967741935,0.6635714285714285,1.2467741935483871,3.4116666666666666,3.7780645161290325,4.3053333333333335,4.71225806451613,4.091290322580645,2.521666666666667,1.5870967741935484,0.5766666666666667,0.4632258064516129,1.6709677419354838,2.2785714285714285,2.1806451612903226,2.4633333333333334,1.635483870967742,2.1566666666666667,1.9451612903225806,1.6548387096774195,1.7266666666666666,1.964516129032258,1.9600000000000002,1.903225806451613,3.0,4.0,3.0,3.0
AT112,16.5,8.8,18.2,28.8,30.0,32.1,33.9,35.2,30.0,24.0,20.0,12.8,-2.7,-12.6,-14.8,1.3,8.4,10.4,8.2,10.7,0.9,4.1,-6.7,-4.3,3.583870967741935,-0.3392857142857143,3.8161290322580643,15.816666666666666,19.029032258064515,21.333333333333332,22.59032258064516,23.809677419354838,18.0,13.880645161290323,7.03,2.6129032258064515,89130.0,47.90869,16.91676,138.0,0.9741935483870967,1.3107142857142857,1.6870967741935483,0.7133333333333333,2.035483870967742,2.2333333333333334,2.1548387096774193,1.1870967741935483,3.753333333333333,0.5903225806451613,1.4233333333333333,1.929032258064516,0.562258064516129,0.6728571428571428,1.3370967741935484,3.6473333333333335,4.187741935483871,4.903333333333333,5.136129032258064,4.5770967741935475,2.7863333333333333,1.9280645161290322,0.7306666666666667,0.6548387096774194,2.5258064516129033,2.939285714285714,2.9129032258064513,2.953333333333333,2.0193548387096776,2.77,2.390322580645161,2.0516129032258066,2.2,2.7774193548387096,2.533333333333333,3.0354838709677416,3.0,4.0,3.0,3.0
AT113,16.6,11.4,17.1,28.3,28.8,31.2,33.0,33.1,29.8,23.4,19.7,13.5,-5.3,-14.4,-16.8,0.6,7.4,7.1,8.0,8.5,-0.2,0.9,-6.9,-7.6,2.4516129032258065,-0.46071428571428574,3.3112903225806454,14.683333333333334,17.67096774193548,19.995,21.043548387096774,22.008064516129032,17.148333333333333,12.325806451612904,6.716666666666667,1.5016129032258063,85628.0,47.16436,16.155755000000003,288.0,0.7596774193548387,1.4267857142857143,2.1193548387096777,0.9433333333333334,3.153225806451613,3.691666666666667,2.485483870967742,2.4919354838709675,2.3016666666666667,0.95,1.4816666666666665,0.3870967741935484,0.3709677419354839,0.6525,1.1796774193548387,3.299,3.6820967741935484,4.227833333333333,4.508387096774193,3.9148387096774195,2.439333333333333,1.412741935483871,0.5498333333333334,0.3791935483870968,1.1241935483870968,1.8517857142857144,1.585483870967742,1.99,1.5241935483870968,1.9183333333333332,1.6838709677419357,1.4548387096774194,1.4400000000000002,1.4532258064516128,1.5866666666666667,1.6112903225806452,3.0,4.0,3.0,3.0
AT121,14.0,8.9,17.0,28.9,31.4,32.5,33.6,36.5,30.8,25.0,22.5,12.3,-5.8,-16.7,-20.7,-1.9,2.7,7.7,3.5,5.7,-1.6,-0.7,-10.9,-12.0,3.1780645161290324,-1.5892857142857142,2.574193548387097,14.272666666666668,17.03290322580645,19.144666666666666,20.20193548387097,21.671612903225807,16.500666666666667,11.885806451612902,5.831333333333333,1.798709677419355,89124.2,48.013326,14.981494,383.0,2.6483870967741936,0.9392857142857143,1.229032258064516,0.6673333333333333,2.1561290322580646,5.545333333333333,1.9490322580645163,2.329677419354839,2.610666666666667,1.5258064516129033,1.5066666666666666,4.443870967741935,0.5251612903225806,0.5543571428571429,1.1863225806451612,3.3305333333333333,3.679741935483871,3.8863333333333334,4.296129032258064,4.116516129032258,2.3554666666666666,1.5300645161290323,0.6222,0.43129032258064515,2.670322580645161,2.0414285714285714,2.57741935483871,2.341333333333333,2.1309677419354838,1.9633333333333334,1.8070967741935486,1.7716129032258066,1.7166666666666666,2.3225806451612905,2.352,2.8464516129032256,3.0,2.0,3.0,3.0
AT122,18.6,8.8,18.4,28.9,29.2,31.4,32.2,34.9,30.2,23.6,18.8,15.0,-9.7,-18.2,-20.6,-3.6,3.3,6.1,3.6,5.2,-3.2,-0.6,-12.6,-13.6,2.488709677419355,-2.2,1.989247311827957,13.594999999999999,15.764516129032257,17.88722222222222,19.340860215053763,20.54247311827957,15.555555555555555,11.85268817204301,5.627222222222222,1.8881720430107527,88293.66666666667,47.780116666666665,15.894413333333334,551.3333333333334,1.7220430107526883,1.2214285714285715,1.7161290322580645,0.9461111111111111,2.818279569892473,5.177222222222222,2.8365591397849466,3.0940860215053765,2.5144444444444445,1.6806451612903226,1.603888888888889,3.1908602150537635,0.5155376344086021,0.5779761904761904,1.1643548387096774,3.1612777777777774,3.367096774193548,3.7252777777777775,4.109731182795699,3.7677956989247314,2.311,1.545752688172043,0.5840000000000001,0.4879032258064516,2.6838709677419352,2.663095238095238,2.628494623655914,2.92,2.147311827956989,2.502222222222222,2.182795698924731,1.9263440860215055,2.001666666666667,2.550537634408602,2.077777777777778,2.795698924731183,3.0,3.0,2.0,3.0
AT123,15.2,8.4,17.6,29.5,29.9,33.3,34.2,36.1,31.4,24.2,22.5,12.6,-3.6,-13.9,-15.8,-1.2,7.7,10.3,6.4,8.6,0.0,1.9,-8.0,-3.4,3.833870967741935,-0.7928571428571428,3.2483870967741937,15.356666666666666,17.914516129032258,20.403333333333332,21.648387096774194,23.07741935483871,17.316666666666666,12.712903225806452,6.323333333333334,2.611290322580645,90126.5,48.200129999999994,15.775055,254.5,1.3112903225806452,0.8892857142857142,1.103225806451613,0.4083333333333333,2.2419354838709675,3.4383333333333335,2.254838709677419,1.546774193548387,2.4633333333333334,0.7419354838709677,1.4733333333333334,2.22258064516129,0.623225806451613,0.6482142857142856,1.3201612903225806,3.6315,3.862741935483871,4.3485000000000005,4.90258064516129,4.674032258064517,2.6726666666666663,1.689032258064516,0.6101666666666666,0.5617741935483871,3.166129032258065,2.455357142857143,2.9193548387096775,2.981666666666667,2.3822580645161286,2.9,2.7870967741935484,2.4338709677419357,2.425,2.8435483870967744,2.3733333333333335,3.7338709677419355,3.0,2.0,3.0,3.0
AT124,15.0,6.8,15.9,29.7,29.6,33.0,34.7,36.3,30.2,24.0,19.0,13.6,-8.0,-18.7,-18.5,-2.1,4.2,6.5,3.7,3.9,-2.7,-1.4,-11.1,-7.4,2.120967741935484,-3.0816964285714286,1.1701612903225806,13.285416666666666,15.975000000000001,17.97458333333333,19.29798387096774,20.80322580645161,15.086666666666668,10.518548387096773,4.31375,1.3778225806451612,91999.875,48.64765875,15.27372,517.5,1.0995967741935484,0.640625,0.7959677419354839,0.32083333333333336,2.335483870967742,3.71625,1.7689516129032257,1.2931451612903226,2.7025,0.652016129032258,1.2479166666666666,2.0576612903225806,0.4655645161290322,0.4999553571428571,1.0616532258064517,3.09275,3.5086290322580647,3.659375,4.115362903225806,3.8608870967741935,2.1996666666666664,1.3708467741935482,0.4535,0.39040322580645165,2.3169354838709677,1.6040178571428572,2.107661290322581,2.1870833333333333,1.847983870967742,1.7929166666666667,1.5911290322580647,1.4991935483870968,1.5695833333333333,2.1169354838709675,1.8304166666666668,2.361693548387097,3.0,4.0,3.0,3.0
